"prefid","area_sqm","pop1393","pop1580","pop1630","pop1680","pop1776","pop1820","pop1851","pop1880","pop1910","pop1920","disttreaty1897","distshort3","coa_dist2","riv_dist2","privatebanks3y5","genalogy1896_prefmatch"
177.211269119056,64996.5192940718,48.0051989341155,256.409051816445,573.879124387167,727.677130589727,336.549555882812,959.956511417404,518.973435473163,938.677438348532,951.820289494935,1067.71003389265,613.828432373703,465.69315684028,256.860294006765,262.843384221196,201.934478944167,408.853794168681
269.061111166375,65002.1250443529,88.1961715919897,165.449955512304,477.747174410615,709.600143493153,687.290107528679,501.676497124135,333.936209122185,318.213817030191,638.994862604886,490.600208041724,500.607786141336,438.932486996055,387.606506980956,676.605998072773,204.913934343494,599.331324524246
199.818030396244,64999.7754169388,96.63400873309,228.846128191799,89.1743542114273,582.362766205333,624.71089515835,860.558031678665,201.352445175871,248.775054886937,773.209064267576,1193.72797514778,507.108150422573,650.610686000437,394.761148933321,954.127519950271,213.462039548904,408.321369136684
88.8592184989247,65001.3770408885,156.424575468991,73.1007458409294,236.778484371025,428.057544510812,245.562263871543,329.666125073563,406.937759041321,575.902261510491,810.540201922413,358.213624879718,138.629708811641,516.759527637623,909.088446199894,751.159748621285,217.655362305231,498.095184960403
118.708276892779,65002.1162698281,176.942699064966,89.162963675335,310.458191263024,735.6965099019,248.695251164027,775.69563663099,273.514897327404,474.47546236217,1149.92692760425,1178.44477623003,188.601681403816,528.928108350374,604.630451928824,1036.81310294196,92.8733507869765,133.916688803583
153.677096552681,65000.8025146743,115.096934388857,114.724582817871,439.766564341262,245.516734749544,341.958101992495,896.952391874511,199.126844289713,421.282899901271,903.646036109421,878.539524674416,529.731964319944,492.537512769923,743.120029661804,102.015403099358,284.361878223717,168.671228177845
298.829661996337,64999.256658587,251.340725293849,368.502134946175,97.2657821862958,587.641626480035,191.017831116915,735.204750755802,739.28480851464,351.083322688937,354.314717161469,1242.7887303778,1.77217330783606,240.490388730541,634.675106126815,623.231073562056,199.507425539196,339.202217967249
134.322859416483,65000.5508962275,273.790414617397,64.2695291200653,504.858508855104,103.721875099,486.49337398354,304.944154645782,619.634922689293,781.443527117372,1118.53801939869,675.708937682211,493.105632439256,679.854819923639,1172.38503713161,656.119383126497,45.530523173511,502.008046070114
219.973278202349,65000.0424497872,36.0936984024011,149.508247058839,491.729303055909,507.023681253195,802.66344929114,170.742517316248,795.015902502928,485.469293743372,855.46263481956,630.627619733568,111.762402951717,413.408367685042,822.648821957409,164.176692254841,100.858566421084,686.48643931374
142.072760132607,64995.5666277747,293.766893532593,268.184729316272,348.017043371219,555.921767801046,484.902964755893,347.423292452004,888.05925124092,411.660614088178,622.941723326221,1187.82993926667,372.094731777906,508.401068276726,892.344079446048,185.760474856943,8.322211378254,496.010085521266
249.226670247503,65003.2937881632,110.746170608327,255.815770162735,339.029547506943,387.619876929093,136.871856995858,789.480753082316,1018.36918111425,759.963615909219,602.952171547804,697.08385417005,486.530308425426,663.590605324134,402.294429391623,767.056291457266,154.931954853237,643.461938202381
272.130950207124,64996.3730520192,66.5790249640122,157.151403895114,301.225317227654,194.631629220676,525.724753928371,745.110382786952,510.240396591835,1084.63329456747,369.167534727603,608.67143421201,367.919090948999,551.105692214333,522.58671708405,1000.07249582559,21.8103733146563,301.627799938433
207.989241610514,64999.2375487151,77.5413751672022,193.754409858957,201.445389331784,354.390149682295,786.781807383522,835.942166636232,222.711802774575,448.074410185218,1040.18145927694,791.141868554987,793.294866010547,81.1639585532248,942.537009995431,864.47151331231,111.198330530897,327.639882778749
